Designator,Quantity,Comment,Footprint,LCSC Part #
"C2, C1, ",2,22pF,0805,C1804
"C3, ",1,1uF,0805,C28323
"C4, ",1,10uF,0805,C15850
"C21, C20, C19, C18, C17, C16, C15, C14, C13, C12, C11, C10, C9, C8, C7, C6, C5, ",17,0.1uF,0805,C49678
"D2, D10, D3, D11, D4, D12, D5, D13, D6, D14, D7, D15, D8, D16, D9, D17, D25, D18, D26, D19, D27, D20, D28, D21, D29, D22, D30, D23, D31, D24, D32, D45, D46, D37, D43, D38, D44, D35, D41, D36, D42, D33, D39, D34, D40, D47, D53, D48, D54, D49, D55, D50, D56, D51, D57, D52, D58, D59, D66, D67, D68, D63, D65, D64, D62, D61, D60, ",67,D_Small,0805,C81598
"D69, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D80, D81, D82, ",14,WS2812B,"SMD,5x5mm",C114586
"R1, R2, ",2,10k,0805,C17414
"R3, R4, ",2,5.1k,0805,C27834
"R5, R6, ",2,22,0805,C17561
"U1, ",1,ATmega32U4-AU,TQFP-44_10.0x10.0x0.8P,C44854
"Y1, ",1,16MHz,3225,C13738
